,state_code,country,population,top,counts,cuisine_names
149,IN,Guatemala,6657,top10,4961.0,Guatemala
150,KS,Mexico,85368,top1,441.0,"Mexico, Taco, Tex-Mex"
151,KS,India,14203,top2,32.0,India
152,KS,Vietnam,10995,top3,35.0,Vietnam
153,KS,China,8302,top4,260.0,China
154,KS,Guatemala,5937,top5,448.0,Guatemala
155,KS,Philippines,5295,top6,0.0,Philippines
156,KS,El Salvador,4091,top7,3.0,El Salvador
157,KS,Korea,3993,top8,22.0,Korea
158,KS,Germany,3624,top9,2.0,Germany
159,KS,Kenya,3353,top10,4.0,Other Middle Africa
160,KY,Mexico,32521,top1,397.0,"Mexico, Taco, Tex-Mex"
161,KY,India,11347,top2,22.0,India
162,KY,Cuba,9870,top3,15.0,Cuba
163,KY,China,6572,top4,243.0,China
164,KY,Guatemala,6375,top5,389.0,Guatemala
165,KY,Philippines,5930,top6,1.0,Philippines
166,KY,Germany,5879,top7,9.0,Germany
167,KY,Vietnam,4157,top8,23.0,Vietnam
168,KY,Korea,3946,top9,21.0,Korea
169,KY,Bosnia and Herzegovina,3598,top10,3.0,Bosnia and Herzegovina
170,LA,Mexico,32296,top1,357.0,"Mexico, Taco, Tex-Mex"
171,LA,Honduras,29600,top2,13.0,South America
172,LA,Vietnam,20309,top3,94.0,Vietnam
173,LA,Guatemala,6968,top4,406.0,Guatemala
174,LA,India,6688,top5,20.0,India
175,LA,Philippines,6471,top6,1.0,Philippines
176,LA,China,6390,top7,326.0,China
177,LA,El Salvador,5861,top8,1.0,El Salvador
178,LA,Cuba,4641,top9,11.0,Cuba
179,LA,Nicaragua,4224,top10,0.0,Nicaragua
180,MA,China,92586,top1,5180.0,China
181,MA,Dominican Republic,86889,top2,41.0,Dominican Republic
182,MA,India,69848,top3,746.0,India
183,MA,Brazil,69386,top4,357.0,Brazil
184,MA,Haiti,55871,top5,490.0,Haiti
185,MA,Portugal,54221,top6,235.0,Portugal
186,MA,El Salvador,39776,top7,51.0,El Salvador
187,MA,Vietnam,37267,top8,543.0,Vietnam
188,MA,Canada,30222,top9,0.0,Canada
189,MA,Guatemala,29658,top10,3298.0,Guatemala
190,MD,El Salvador,108128,top1,1.0,El Salvador
191,MD,India,61911,top2,90.0,India
