"Label","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","West Virginia!!Estimate","Washington!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Idaho!!Estimate","Hawaii!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate"
"                Jamaica","1,295","843","1,412","69","265","1,505","898","42,651","307","230,275","9,191","350","4,658","637","432","20,644","945","3,835","136","1,715","14,859","451","268","9,669","349","1,722","1,578","19","","1,958","134","1,931","271","14,146","1,899","36,197","2,198","2,360","215,622","40,264","141","385","7,190","1,321","459","466","868","1,183","611","26,583","19,271","4,140"
"                St. Vincent and the Grenadines","54","35","29","18","12","0","12","970","15","14,119","159","0","104","22","17","781","0","72","0","67","345","20","0","251","13","26","21","0","","150","3","61","22","395","41","219","25","19","2,599","694","0","0","42","51","0","0","37","13","11","685","373","52"
"                Trinidad and Tobago","1,044","159","248","0","86","562","140","15,129","76","94,651","2,867","43","1,310","175","232","6,246","457","1,099","34","795","10,911","139","51","4,868","188","839","190","5","","545","55","1,338","236","5,965","472","2,368","917","1,131","43,921","7,244","7","237","1,298","558","79","226","202","807","98","13,024","6,067","1,146"
"                West Indies","8","133","14","0","45","121","2","1,070","47","11,848","398","3","204","19","50","646","4","199","0","6","1,050","210","0","599","0","56","36","71","","138","53","62","44","752","140","906","0","76","3,715","1,217","0","14","357","56","23","7","35","183","0","801","1,044","95"
"                Other Caribbean","332","39","299","33","108","95","17","4,371","129","28,265","1,080","18","527","94","84","1,937","279","346","26","217","3,782","47","0","1,528","139","345","107","21","","382","116","456","29","2,420","189","2,409","282","274","17,347","4,882","0","108","410","298","188","175","229","587","19","2,206","2,513","352"
"            Central America:","85,354","30,119","58,314","3,199","63,571","275,722","4,963","263,591","145,741","496,101","329,763","2,909","65,585","125,392","161,370","92,394","20,725","90,246","5,842","127,527","2,965,763","119,489","1,183","238,907","3,457","273,163","96,992","9,807","","69,258","5,544","544,007","81,611","5,018,764","252,822","59,976","22,657","22,851","644,760","346,053","54,381","7,142","708,356","128,652","53,671","99,430","45,170","81,557","1,969","215,035","101,207","98,171"
"                Mexico","64,492","23,319","43,580","2,564","47,642","226,047","2,187","114,932","139,747","225,373","235,756","2,397","44,526","109,717","147,435","57,457","3,508","67,263","3,331","91,172","2,535,883","103,386","758","53,864","1,864","240,394","88,562","8,441","","49,403","4,157","513,583","59,287","4,140,352","228,598","26,909","15,683","4,166","268,587","254,885","52,011","5,322","652,286","105,727","42,190","85,368","32,521","32,296","964","37,005","13,964","83,598"
"                Belize","240","110","74","72","183","895","15","1,223","62","7,832","465","42","83","192","129","511","56","226","34","480","5,042","87","17","667","45","401","104","56","","52","65","356","90","16,690","296","371","28","190","4,806","778","15","0","4,292","216","72","107","25","754","0","624","190","197"
"                Costa Rica","606","58","295","41","104","859","155","14,679","161","6,914","3,323","6","625","285","546","2,275","40","1,727","9","968","4,890","459","0","2,164","31","673","686","0","","307","97","1,325","267","12,423","695","1,468","98","241","16,696","2,314","216","150","1,353","488","145","304","300","526","32","1,887","1,854","743"
"                El Salvador","7,803","657","3,759","21","4,725","25,438","523","47,782","1,980","109,733","30,618","86","6,231","3,604","5,430","6,849","2,524","3,352","915","8,986","206,561","7,295","108","107,946","643","12,240","1,117","503","","2,374","622","8,621","13,514","437,016","9,765","6,674","1,273","12,238","45,730","27,032","1,040","242","9,996","8,005","3,569","4,091","2,138","5,861","513","108,128","39,776","2,903"
